"idpessoa","descNome","numCNPJ"
930415,Zeca Loteiro 930415,26033633000116
447268,Zeca Loteiro 447268,161133610
408648,Zeca Loteiro 408648,16221020000101
5560,Zeca Loteiro 5560,16633001000162
636642,Zeca Loteiro 636642,1600161000016
749288,Zeca Loteiro 749288,1515363000100
1528631,Zeca Loteiro 1528631,2160130000150
874392,Zeca Loteiro 874392,1616131000150
1240625,Zeca Loteiro 1240625,3666121000121
801560,Zeca Loteiro 801560,22031232000130
1233627,Zeca Loteiro 1233627,1321566000161
3238160,Zeca Loteiro 3238160,66631016000120
1715611,Zeca Loteiro 1715611,260005000105
1193315,Zeca Loteiro 1193315,
632532,Zeca Loteiro 632532,1120213000006
106572,Zeca Loteiro 106572,22013603000120
1216404,Zeca Loteiro 1216404,3611106000160
298560,Zeca Loteiro 298560,21010662000106
620395,Zeca Loteiro 620395,200056000035
723525,Zeca Loteiro 723525,10101105000160
1454731,Zeca Loteiro 1454731,
1376087,Zeca Loteiro 1376087,15220100000101
700795,Zeca Loteiro 700795,33316633000166
1477784,Zeca Loteiro 1477784,
543234,Zeca Loteiro 543234,20111550000161
3210699,Zeca Loteiro 3210699,63661553000162
85437,Zeca Loteiro 85437,66606023051151
485447,Zeca Loteiro 485447,
27072,Zeca Loteiro 27072,22130360000102
2119194,Zeca Loteiro 2119194,22000213000123
4102173,Zeca Loteiro 4102173,22502651000113
1147596,Zeca Loteiro 1147596,22662313000111
85437,Zeca Loteiro 85437,66606023051151
1980932,Zeca Loteiro 1980932,6613321000160
864544,Zeca Loteiro 864544,6365221000163
1522687,Zeca Loteiro 1522687,12612160000136
83004,Zeca Loteiro 83004,22316505000166
2022262,Zeca Loteiro 2022262,6110303000130
2690920,Zeca Loteiro 2690920,21063213000102
206,Zeca Loteiro 206,
2569,Zeca Loteiro 2569,
1986455,Zeca Loteiro 1986455,10632615000101
3274648,Zeca Loteiro 3274648,15301331000103
1752345,Zeca Loteiro 1752345,
1469790,Zeca Loteiro 1469790,310355000052
881771,Zeca Loteiro 881771,22332332000113
455054,Zeca Loteiro 455054,22662313000111
1523468,Zeca Loteiro 1523468,
311485,Zeca Loteiro 311485,22313153000136
85437,Zeca Loteiro 85437,66606023051151
3327767,Zeca Loteiro 3327767,66631016000120
636644,Zeca Loteiro 636644,256661015316
215069,Zeca Loteiro 215069,16131556000106
3306180,Zeca Loteiro 3306180,305110000113
2789956,Zeca Loteiro 2789956,12515613000131
179169,Zeca Loteiro 179169,22565661000126
526478,Zeca Loteiro 526478,6060661000066
1447969,Zeca Loteiro 1447969,31365305000131
249330,Zeca Loteiro 249330,
13115,Zeca Loteiro 13115,
14184,Zeca Loteiro 14184,
1291088,Zeca Loteiro 1291088,
3795067,Zeca Loteiro 3795067,33300510000160
636081,Zeca Loteiro 636081,1600031000060
635638,Zeca Loteiro 635638,22512056000153
1342573,Zeca Loteiro 1342573,
666880,Zeca Loteiro 666880,
793495,Zeca Loteiro 793495,56123633000010
822502,Zeca Loteiro 822502,23165151000106
820278,Zeca Loteiro 820278,22602232000136
5713,Zeca Loteiro 5713,22612656000603
375708,Zeca Loteiro 375708,
229508,Zeca Loteiro 229508,
675139,Zeca Loteiro 675139,1155000000103
1238178,Zeca Loteiro 1238178,10101105000160
4101821,Zeca Loteiro 4101821,11636610000101
2285403,Zeca Loteiro 2285403,12515613000131
330411,Zeca Loteiro 330411,
699963,Zeca Loteiro 699963,60130565000130
2024708,Zeca Loteiro 2024708,12622303000116
749288,Zeca Loteiro 749288,1515363000100
1310130,Zeca Loteiro 1310130,
2091528,Zeca Loteiro 2091528,
3182814,Zeca Loteiro 3182814,21105605000152
1528631,Zeca Loteiro 1528631,2160130000150
638905,Zeca Loteiro 638905,1050362000001
543666,Zeca Loteiro 543666,22661032000163
1724688,Zeca Loteiro 1724688,63633000236
1214893,Zeca Loteiro 1214893,22216062002100
2691782,Zeca Loteiro 2691782,66606023000110
3197224,Zeca Loteiro 3197224,10100561000111
2830775,Zeca Loteiro 2830775,2160130000150
1816148,Zeca Loteiro 1816148,
1935878,Zeca Loteiro 1935878,22630303000131
1164800,Zeca Loteiro 1164800,16121663000161
1234773,Zeca Loteiro 1234773,16621005000166
1239824,Zeca Loteiro 1239824,22526101000122
47281,Zeca Loteiro 47281,22333306000163
3150654,Zeca Loteiro 3150654,13350630000151
1610723,Zeca Loteiro 1610723,5631223000130
636644,Zeca Loteiro 636644,256661015316
4508093,Zeca Loteiro 4508093,6103032000100
3555711,Zeca Loteiro 3555711,16530311000103
1992994,Zeca Loteiro 1992994,320606000121
1051689,Zeca Loteiro 1051689,66606023000110
47595,Zeca Loteiro 47595,
1323920,Zeca Loteiro 1323920,
2319603,Zeca Loteiro 2319603,3011030000163
1216404,Zeca Loteiro 1216404,3611106000160
3326193,Zeca Loteiro 3326193,635626000162
644317,Zeca Loteiro 644317,60161155000111
3146508,Zeca Loteiro 3146508,2160130000150
2470721,Zeca Loteiro 2470721,63161303000103
766957,Zeca Loteiro 766957,22366215000163
726224,Zeca Loteiro 726224,6510536000152
862759,Zeca Loteiro 862759,3011030000163
1783191,Zeca Loteiro 1783191,1110633000000
2282397,Zeca Loteiro 2282397,12515613000131
1285580,Zeca Loteiro 1285580,
1836698,Zeca Loteiro 1836698,
112845,Zeca Loteiro 112845,22565661000126
85437,Zeca Loteiro 85437,66606023051151
2053472,Zeca Loteiro 2053472,
636644,Zeca Loteiro 636644,256661015316
